,osgb,shading,height,wwr,nofloors,construction,ventilation_rate,overhang_depth,polygon,interiors,touching,simplify,polygon_exposed_wall,polygon_horizontal,bi
0,UID00,false,3.6,12.0,1.0,uninsulated,3.0,,"POLYGON ((534385.9299999997 165750.1099999994, 534386.96 165756.76999999955, 534392.5099999998 165755.91999999993, 534392.71 165757.22000000067, 534397.5599999996 165756.47000000067, 534396.8499999996 165751.84999999963, 534395.9000000004 165745.73000000045, 534395.1100000003 165745.84999999963, 534394.9900000002 165745.0700000003, 534385.3799999999 165746.56000000052, 534385.9299999997 165750.1099999994))",False,[],False,"LINESTRING (534385.9299999997 165750.1099999994, 534386.96 165756.76999999955, 534392.5099999998 165755.91999999993, 534392.71 165757.22000000067, 534397.5599999996 165756.47000000067, 534396.8499999996 165751.84999999963, 534395.9000000004 165745.73000000045, 534395.1100000003 165745.84999999963, 534394.9900000002 165745.0700000003, 534385.3799999999 165746.56000000052, 534385.9299999997 165750.1099999994)","POLYGON ((534385.9299999997 165750.1099999994, 534386.96 165756.76999999955, 534392.5099999998 165755.91999999993, 534392.71 165757.22000000067, 534397.5599999996 165756.47000000067, 534396.8499999996 165751.84999999963, 534395.9000000004 165745.73000000045, 534395.1100000003 165745.84999999963, 534394.9900000002 165745.0700000003, 534385.3799999999 165746.56000000052, 534385.9299999997 165750.1099999994))",bi_534391-39_165750-98
1,UID01,false,3.1,12.0,1.0,medlow,2.3,,"POLYGON ((534401.6699999999 165748.74000000022, 534398.1699999999 165748.97000000067, 534398.3499999996 165751.61999999918, 534398.5800000001 165755.23000000045, 534402.0899999999 165754.99000000022, 534409.1600000001 165754.51999999955, 534408.5499999998 165745.30000000075, 534408.3600000003 165742.40000000037, 534401.2800000003 165742.8599999994, 534401.4699999997 165745.76999999955, 534401.6699999999 165748.74000000022))",False,['UID12'],False,"MULTILINESTRING ((534401.6699999999 165748.74000000022, 534398.1699999999 165748.97000000067, 534398.3499999996 165751.61999999918, 534398.5800000001 165755.23000000045, 534402.0899999999 165754.99000000022, 534409.1600000001 165754.51999999955), (534408.5499999998 165745.30000000075, 534408.3600000003 165742.40000000037, 534401.2800000003 165742.8599999994, 534401.4699999997 165745.76999999955, 534401.6699999999 165748.74000000022))","POLYGON ((534401.6699999999 165748.74000000022, 534398.1699999999 165748.97000000067, 534398.3499999996 165751.61999999918, 534398.5800000001 165755.23000000045, 534402.0899999999 165754.99000000022, 534409.1600000001 165754.51999999955, 534408.5499999998 165745.30000000075, 534408.3600000003 165742.40000000037, 534401.2800000003 165742.8599999994, 534401.4699999997 165745.76999999955, 534401.6699999999 165748.74000000022))",bi_534428-2_165747-28
2,UID02,false,3.8,12.0,1.0,uninsulated,3.3,,"POLYGON ((534375.9500000002 165756.75, 534374.3899999997 165746.6799999997, 534363.9699999997 165748.2899999991, 534364.9500000002 165754.61999999918, 534365.2800000003 165756.75999999978, 534371.0599999996 165755.86999999918, 534371.3099999996 165757.47000000067, 534375.9500000002 165756.75))",False,['UID04'],False,"LINESTRING (534374.3899999997 165746.6799999997, 534363.9699999997 165748.2899999991, 534364.9500000002 165754.61999999918, 534365.2800000003 165756.75999999978, 534371.0599999996 165755.86999999918, 534371.3099999996 165757.47000000067, 534375.9500000002 165756.75)","POLYGON ((534375.9500000002 165756.75, 534374.3899999997 165746.6799999997, 534363.9699999997 165748.2899999991, 534364.9500000002 165754.61999999918, 534365.2800000003 165756.75999999978, 534371.0599999996 165755.86999999918, 534371.3099999996 165757.47000000067, 534375.9500000002 165756.75))",bi_534374-18_165749-32
3,UID03,true,3.4,,,,,,"POLYGON ((534436.4100000001 165750.4600000009, 534438.8099999996 165750.08999999985, 534438.1500000004 165745.83999999985, 534438.0800000001 165745.33000000007, 534435.6699999999 165745.69999999925, 534434.9400000004 165740.93999999948, 534427.3499999996 165742.1099999994, 534429.1399999997 165753.68999999948, 534433.0999999996 165753.08000000007, 534432.79 165751.01999999955, 534436.4100000001 165750.4600000009))",False,['UID05'],False,"MULTILINESTRING ((534436.4100000001 165750.4600000009, 534438.8099999996 165750.08999999985, 534438.1500000004 165745.83999999985, 534438.0800000001 165745.33000000007, 534435.6699999999 165745.69999999925, 534434.9400000004 165740.93999999948, 534427.3499999996 165742.1099999994), (534429.1399999997 165753.68999999948, 534433.0999999996 165753.08000000007, 534432.79 165751.01999999955, 534436.4100000001 165750.4600000009))","POLYGON ((534436.4100000001 165750.4600000009, 534438.8099999996 165750.08999999985, 534438.1500000004 165745.83999999985, 534438.0800000001 165745.33000000007, 534435.6699999999 165745.69999999925, 534434.9400000004 165740.93999999948, 534427.3499999996 165742.1099999994, 534429.1399999997 165753.68999999948, 534433.0999999996 165753.08000000007, 534432.79 165751.01999999955, 534436.4100000001 165750.4600000009))",bi_534428-2_165747-28
4,UID04,false,3.3,12.0,1.0,medhigh,1.4,,"POLYGON ((534374.3899999997 165746.6799999997, 534375.9500000002 165756.75, 534378.6100000003 165756.33999999985, 534378.46 165755.3900000006, 534385 165754.36999999918, 534384.3799999999 165750.34999999963, 534383.96 165747.6099999994, 534383.4199999999 165744.13000000082, 534381.0099999998 165744.5, 534380.7400000002 165742.77999999933, 534373.9500000002 165743.83000000007, 534374.2199999997 165745.55000000075, 534374.3899999997 165746.6799999997))",False,['UID02'],False,"LINESTRING (534375.9500000002 165756.75, 534378.6100000003 165756.33999999985, 534378.46 165755.3900000006, 534385 165754.36999999918, 534384.3799999999 165750.34999999963, 534383.96 165747.6099999994, 534383.4199999999 165744.13000000082, 534381.0099999998 165744.5, 534380.7400000002 165742.77999999933, 534373.9500000002 165743.83000000007, 534374.2199999997 165745.55000000075, 534374.3899999997 165746.6799999997)","POLYGON ((534374.3899999997 165746.6799999997, 534375.9500000002 165756.75, 534378.6100000003 165756.33999999985, 534378.46 165755.3900000006, 534385 165754.36999999918, 534384.3799999999 165750.34999999963, 534383.96 165747.6099999994, 534383.4199999999 165744.13000000082, 534381.0099999998 165744.5, 534380.7400000002 165742.77999999933, 534373.9500000002 165743.83000000007, 534374.2199999997 165745.55000000075, 534374.3899999997 165746.6799999997))",bi_534374-18_165749-32
5,UID05,false,3.2,12.0,1.0,medhigh,1.2,,"POLYGON ((534419.9299999997 165744.6400000006, 534417.6699999999 165744.99000000022, 534418.2400000002 165748.72000000067, 534418.9299999997 165753.16000000015, 534421.2000000002 165752.81000000052, 534424.8600000003 165752.24000000022, 534425.1799999997 165754.30000000075, 534429.1399999997 165753.68999999948, 534427.3499999996 165742.1099999994, 534419.7199999997 165743.2899999991, 534419.9299999997 165744.6400000006))",False,"['UID03', 'UID12']",False,"MULTILINESTRING ((534419.9299999997 165744.6400000006, 534417.6699999999 165744.99000000022, 534418.2400000002 165748.72000000067), (534418.9299999997 165753.16000000015, 534421.2000000002 165752.81000000052, 534424.8600000003 165752.24000000022, 534425.1799999997 165754.30000000075, 534429.1399999997 165753.68999999948), (534427.3499999996 165742.1099999994, 534419.7199999997 165743.2899999991, 534419.9299999997 165744.6400000006))","POLYGON ((534419.9299999997 165744.6400000006, 534417.6699999999 165744.99000000022, 534418.2400000002 165748.72000000067, 534418.9299999997 165753.16000000015, 534421.2000000002 165752.81000000052, 534424.8600000003 165752.24000000022, 534425.1799999997 165754.30000000075, 534429.1399999997 165753.68999999948, 534427.3499999996 165742.1099999994, 534419.7199999997 165743.2899999991, 534419.9299999997 165744.6400000006))",bi_534428-2_165747-28
6,UID06,false,3.0,12.0,1.0,low,2.8,,"POLYGON ((534415.1600000001 165707.0700000003, 534420.6200000001 165706.08999999985, 534419.8899999997 165702.02999999933, 534420.6699999999 165701.8900000006, 534418.8099999996 165691.4600000009, 534415.0099999998 165692.1400000006, 534415.2400000002 165693.44999999925, 534408.8499999996 165694.58999999985, 534409.3499999996 165697.3900000006, 534410.4800000004 165703.72000000067, 534411.21 165707.77999999933, 534415.1600000001 165707.0700000003))",False,['UID09'],False,"MULTILINESTRING ((534415.1600000001 165707.0700000003, 534420.6200000001 165706.08999999985, 534419.8899999997 165702.02999999933, 534420.6699999999 165701.8900000006), (534418.8099999996 165691.4600000009, 534415.0099999998 165692.1400000006, 534415.2400000002 165693.44999999925, 534408.8499999996 165694.58999999985, 534409.3499999996 165697.3900000006, 534410.4800000004 165703.72000000067, 534411.21 165707.77999999933, 534415.1600000001 165707.0700000003))","POLYGON ((534415.1600000001 165707.0700000003, 534420.6200000001 165706.08999999985, 534419.8899999997 165702.02999999933, 534420.6699999999 165701.8900000006, 534418.8099999996 165691.4600000009, 534415.0099999998 165692.1400000006, 534415.2400000002 165693.44999999925, 534408.8499999996 165694.58999999985, 534409.3499999996 165697.3900000006, 534410.4800000004 165703.72000000067, 534411.21 165707.77999999933, 534415.1600000001 165707.0700000003))",bi_534418-77_165699-36
7,UID07,false,2.8,12.0,1.0,low,2.7,,"POLYGON ((534386.5800000001 165700.06000000052, 534384.7800000003 165689.99000000022, 534380.9199999999 165690.6799999997, 534381.0800000001 165691.58000000007, 534375.0099999998 165692.66999999993, 534375.6399999997 165696.18999999948, 534376.2300000004 165699.48000000045, 534378.8200000003 165699.00999999978, 534379.25 165701.38000000082, 534386.5800000001 165700.06000000052))",False,['UID08'],False,"LINESTRING (534384.7800000003 165689.99000000022, 534380.9199999999 165690.6799999997, 534381.0800000001 165691.58000000007, 534375.0099999998 165692.66999999993, 534375.6399999997 165696.18999999948, 534376.2300000004 165699.48000000045, 534378.8200000003 165699.00999999978, 534379.25 165701.38000000082, 534386.5800000001 165700.06000000052)","POLYGON ((534386.5800000001 165700.06000000052, 534384.7800000003 165689.99000000022, 534380.9199999999 165690.6799999997, 534381.0800000001 165691.58000000007, 534375.0099999998 165692.66999999993, 534375.6399999997 165696.18999999948, 534376.2300000004 165699.48000000045, 534378.8200000003 165699.00999999978, 534379.25 165701.38000000082, 534386.5800000001 165700.06000000052))",bi_534384-96_165697-59
8,UID08,false,3.3,12.0,1.0,uninsulated,3.1,,"POLYGON ((534386.5800000001 165700.06000000052, 534387.71 165706.38000000082, 534391.5 165705.69999999925, 534390.3700000001 165699.3900000006, 534394.2300000004 165698.69999999925, 534393.8300000001 165696.49000000022, 534395.6600000001 165696.16000000015, 534394.5 165689.65000000037, 534388.8799999999 165690.65000000037, 534388.6399999997 165689.30000000075, 534384.7800000003 165689.99000000022, 534386.5800000001 165700.06000000052))",False,['UID07'],False,"LINESTRING (534386.5800000001 165700.06000000052, 534387.71 165706.38000000082, 534391.5 165705.69999999925, 534390.3700000001 165699.3900000006, 534394.2300000004 165698.69999999925, 534393.8300000001 165696.49000000022, 534395.6600000001 165696.16000000015, 534394.5 165689.65000000037, 534388.8799999999 165690.65000000037, 534388.6399999997 165689.30000000075, 534384.7800000003 165689.99000000022)","POLYGON ((534386.5800000001 165700.06000000052, 534387.71 165706.38000000082, 534391.5 165705.69999999925, 534390.3700000001 165699.3900000006, 534394.2300000004 165698.69999999925, 534393.8300000001 165696.49000000022, 534395.6600000001 165696.16000000015, 534394.5 165689.65000000037, 534388.8799999999 165690.65000000037, 534388.6399999997 165689.30000000075, 534384.7800000003 165689.99000000022, 534386.5800000001 165700.06000000052))",bi_534384-96_165697-59
9,UID09,false,2.9,12.0,1.0,low,2.6,,"POLYGON ((534418.8099999996 165691.4600000009, 534420.6699999999 165701.8900000006, 534428.0599999996 165700.5700000003, 534427.6200000001 165698.15000000037, 534429.6600000001 165697.77999999933, 534428.46 165691.0399999991, 534422.8300000001 165692.05000000075, 534422.5999999996 165690.77999999933, 534418.8099999996 165691.4600000009))",False,['UID06'],False,"LINESTRING (534420.6699999999 165701.8900000006, 534428.0599999996 165700.5700000003, 534427.6200000001 165698.15000000037, 534429.6600000001 165697.77999999933, 534428.46 165691.0399999991, 534422.8300000001 165692.05000000075, 534422.5999999996 165690.77999999933, 534418.8099999996 165691.4600000009)","POLYGON ((534418.8099999996 165691.4600000009, 534420.6699999999 165701.8900000006, 534428.0599999996 165700.5700000003, 534427.6200000001 165698.15000000037, 534429.6600000001 165697.77999999933, 534428.46 165691.0399999991, 534422.8300000001 165692.05000000075, 534422.5999999996 165690.77999999933, 534418.8099999996 165691.4600000009))",bi_534418-77_165699-36
10,UID10,false,3.0,12.0,1.0,uninsulated,2.9,,"POLYGON ((534406.3300000001 165700.49000000022, 534406.5099999998 165701.44999999925, 534408.6699999999 165701.0700000003, 534408.0499999998 165697.63000000082, 534406.8300000001 165690.81000000052, 534401.3399999999 165691.7899999991, 534401.0300000003 165690.09999999963, 534396.7199999997 165690.86999999918, 534397.6100000003 165695.81000000052, 534398.6900000004 165701.8599999994, 534399.2800000003 165705.15000000037, 534403.2000000002 165704.44999999925, 534402.6200000001 165701.15000000037, 534406.3300000001 165700.49000000022))",False,[],False,"LINESTRING (534406.3300000001 165700.49000000022, 534406.5099999998 165701.44999999925, 534408.6699999999 165701.0700000003, 534408.0499999998 165697.63000000082, 534406.8300000001 165690.81000000052, 534401.3399999999 165691.7899999991, 534401.0300000003 165690.09999999963, 534396.7199999997 165690.86999999918, 534397.6100000003 165695.81000000052, 534398.6900000004 165701.8599999994, 534399.2800000003 165705.15000000037, 534403.2000000002 165704.44999999925, 534402.6200000001 165701.15000000037, 534406.3300000001 165700.49000000022)","POLYGON ((534406.3300000001 165700.49000000022, 534406.5099999998 165701.44999999925, 534408.6699999999 165701.0700000003, 534408.0499999998 165697.63000000082, 534406.8300000001 165690.81000000052, 534401.3399999999 165691.7899999991, 534401.0300000003 165690.09999999963, 534396.7199999997 165690.86999999918, 534397.6100000003 165695.81000000052, 534398.6900000004 165701.8599999994, 534399.2800000003 165705.15000000037, 534403.2000000002 165704.44999999925, 534402.6200000001 165701.15000000037, 534406.3300000001 165700.49000000022))",bi_534402-83_165696-72
11,UID11,false,6.2,12.0,2.0,medlow,2.1,,"POLYGON ((534360.0499999998 165702.83999999985, 534361.8600000003 165712.97000000067, 534370.3700000001 165711.44999999925, 534369.2599999998 165705.23000000045, 534367.8799999999 165697.52500000037, 534366.9900000002 165692.50999999978, 534358.4699999997 165694.02999999933, 534359.3600000003 165699, 534360.0499999998 165702.83999999985))",False,[],False,"LINESTRING (534360.0499999998 165702.83999999985, 534361.8600000003 165712.97000000067, 534370.3700000001 165711.44999999925, 534369.2599999998 165705.23000000045, 534367.8799999999 165697.52500000037, 534366.9900000002 165692.50999999978, 534358.4699999997 165694.02999999933, 534359.3600000003 165699, 534360.0499999998 165702.83999999985)","POLYGON ((534360.0499999998 165702.83999999985, 534361.8600000003 165712.97000000067, 534370.3700000001 165711.44999999925, 534369.2599999998 165705.23000000045, 534367.8799999999 165697.52500000037, 534366.9900000002 165692.50999999978, 534358.4699999997 165694.02999999933, 534359.3600000003 165699, 534360.0499999998 165702.83999999985))",bi_534364-1_165700-92
12,UID12,true,4.8,,,,,,"POLYGON ((534416.2400000002 165754.06000000052, 534419.04 165753.86999999918, 534418.9299999997 165753.16000000015, 534418.2400000002 165748.72000000067, 534415.9000000004 165748.86999999918, 534415.6299999999 165744.83000000007, 534408.5499999998 165745.30000000075, 534409.1600000001 165754.51999999955, 534416.2400000002 165754.06000000052))",False,"['UID01', 'UID05']",False,"MULTILINESTRING ((534416.2400000002 165754.06000000052, 534419.04 165753.86999999918, 534418.9299999997 165753.16000000015), (534418.2400000002 165748.72000000067, 534415.9000000004 165748.86999999918, 534415.6299999999 165744.83000000007, 534408.5499999998 165745.30000000075), (534409.1600000001 165754.51999999955, 534416.2400000002 165754.06000000052))","POLYGON ((534416.2400000002 165754.06000000052, 534419.04 165753.86999999918, 534418.9299999997 165753.16000000015, 534418.2400000002 165748.72000000067, 534415.9000000004 165748.86999999918, 534415.6299999999 165744.83000000007, 534408.5499999998 165745.30000000075, 534409.1600000001 165754.51999999955, 534416.2400000002 165754.06000000052))",bi_534428-2_165747-28
